iter	Passed	Remaining
928	13878	16000
929	13888	15978
930	13898	15958
931	13906	15935
932	13915	15913
933	13924	15891
934	13932	15869
935	13942	15848
936	13949	15825
937	13957	15802
938	13966	15780
939	13976	15760
940	13985	15738
941	13994	15717
942	14002	15695
943	14010	15672
944	14018	15650
945	14027	15628
946	14035	15606
947	14044	15584
948	14053	15564
949	14062	15542
950	14070	15520
951	14078	15497
952	14087	15477
953	14097	15456
954	14104	15434
955	14115	15414
956	14123	15393
957	14135	15374
958	14143	15352
959	14151	15330
960	14159	15309
961	14169	15288
962	14178	15268
963	14186	15246
964	14194	15224
965	14203	15203
966	14213	15183
967	14221	15161
968	14231	15142
969	14239	15120
970	14248	15099
971	14256	15077
972	14265	15056
973	14272	15034
974	14281	15014
975	14290	14993
976	14299	14972
977	14306	14950
978	14313	14928
979	14323	14907
980	14331	14886
981	14339	14865
982	14350	14846
983	14358	14825
984	14367	14804
985	14374	14783
986	14382	14761
987	14390	14740
988	14398	14719
989	14406	14697
990	14414	14675
991	14422	14655
992	14431	14635
993	14441	14615
994	14450	14595
995	14458	14575
996	14468	14556
997	14477	14535
998	14485	14514
999	14493	14493
1000	14502	14473
1001	14512	14454
1002	14520	14433
1003	14529	14413
1004	14539	14394
1005	14547	14374
1006	14556	14354
1007	14564	14333
1008	14572	14312
1009	14581	14292
1010	14590	14272
1011	14598	14252
1012	14606	14231
1013	14616	14212
1014	14624	14192
1015	14632	14172
1016	14642	14152
1017	14650	14132
1018	14660	14114
1019	14670	14094
1020	14678	14074
1021	14687	14055
1022	14697	14036
1023	14705	14015
1024	14713	13995
1025	14721	13975
1026	14730	13956
1027	14742	13939
1028	14751	13919
1029	14759	13899
1030	14767	13879
1031	14775	13859
1032	14783	13838
1033	14791	13818
1034	14800	13799
1035	14813	13783
1036	14821	13763
1037	14829	13743
1038	14837	13723
1039	14845	13703
1040	14854	13684
1041	14863	13665
1042	14872	13646
1043	14880	13626
1044	14889	13606
1045	14897	13587
1046	14905	13567
1047	14912	13546
1048	14922	13528
1049	14930	13508
1050	14938	13488
1051	14947	13469
1052	14957	13451
1053	14965	13432
1054	14974	13412
1055	14982	13393
1056	14990	13373
1057	14997	13352
1058	15006	13333
1059	15014	13315
1060	15024	13296
1061	15032	13277
1062	15047	13264
1063	15058	13246
1064	15067	13227
1065	15075	13208
1066	15084	13190
1067	15093	13171
1068	15101	13152
1069	15110	13133
1070	15118	13114
1071	15129	13097
1072	15141	13081
1073	15150	13062
1074	15159	13043
1075	15171	13027
1076	15179	13009
1077	15190	12992
1078	15199	12973
1079	15208	12955
1080	15219	12938
1081	15227	12919
1082	15247	12910
1083	15258	12893
1084	15269	12877
1085	15278	12858
1086	15288	12841
1087	15299	12824
1088	15309	12807
1089	15317	12787
1090	15328	12771
1091	15339	12754
1092	15348	12736
1093	15358	12719
1094	15368	12701
1095	15377	12683
1096	15388	12666
1097	15397	12648
1098	15405	12630
1099	15415	12612
1100	15425	12595
1101	15434	12577
1102	15444	12560
1103	15452	12541
1104	15462	12523
1105	15471	12505
1106	15479	12487
1107	15488	12469
1108	15499	12452
1109	15509	12435
1110	15519	12418
1111	15527	12399
1112	15535	12381
1113	15544	12362
1114	15553	12345
1115	15564	12328
1116	15573	12310
1117	15581	12292
1118	15593	12277
1119	15602	12259
1120	15611	12241
1121	15619	12222
1122	15628	12204
1123	15637	12187
1124	15650	12172
1125	15660	12155
1126	15669	12137
1127	15677	12119
1128	15687	12102
1129	15697	12085
1130	15705	12067
1131	15714	12049
1132	15723	12032
1133	15733	12015
1134	15742	11997
1135	15751	11980
1136	15760	11962
1137	15770	11945
1138	15779	11927
1139	15787	11909
1140	15797	11893
1141	15807	11876
1142	15815	11857
1143	15823	11839
1144	15831	11822
1145	15840	11804
1146	15849	11786
1147	15858	11769
1148	15866	11751
1149	15875	11733
1150	15884	11716
1151	15896	11701
1152	15904	11683
1153	15912	11665
1154	15920	11647
1155	15929	11630
1156	15938	11612
1157	15945	11594
1158	15956	11578
1159	15964	11560
1160	15973	11543
1161	15981	11525
1162	15989	11507
1163	15998	11490
1164	16006	11472
1165	16015	11455
1166	16024	11438
1167	16033	11420
1168	16041	11403
1169	16050	11385
1170	16059	11369
1171	16069	11352
1172	16077	11334
1173	16085	11317
1174	16094	11300
1175	16103	11283
1176	16112	11266
1177	16120	11248
1178	16129	11232
1179	16139	11215
1180	16147	11198
1181	16156	11181
1182	16165	11164
1183	16173	11146
1184	16183	11130
1185	16190	11112
1186	16199	11095
1187	16207	11077
1188	16215	11060
1189	16223	11042
1190	16237	11029
1191	16245	11012
1192	16254	10995
1193	16263	10978
1194	16272	10961
1195	16282	10945
1196	16290	10928
1197	16298	10911
1198	16306	10893
1199	16314	10876
1200	16324	10860
1201	16332	10843
1202	16339	10825
1203	16348	10808
1204	16357	10791
1205	16365	10774
1206	16374	10757
1207	16382	10740
1208	16391	10724
1209	16400	10707
1210	16408	10690
1211	16418	10674
1212	16426	10657
1213	16436	10641
1214	16444	10624
1215	16452	10607
1216	16459	10589
1217	16468	10573
1218	16476	10556
1219	16484	10539
1220	16493	10522
1221	16501	10505
1222	16509	10488
1223	16519	10473
1224	16527	10456
1225	16536	10439
1226	16544	10423
1227	16553	10406
1228	16562	10390
1229	16570	10373
1230	16579	10356
1231	16587	10340
1232	16597	10324
1233	16605	10307
1234	16612	10290
1235	16621	10274
1236	16631	10258
1237	16639	10241
1238	16647	10224
1239	16656	10208
1240	16664	10192
1241	16676	10177
1242	16685	10161
1243	16694	10145
1244	16703	10129
1245	16712	10113
1246	16720	10096
1247	16728	10079
1248	16736	10063
1249	16745	10047
1250	16754	10031
1251	16764	10015
1252	16772	9999
1253	16781	9983
1254	16789	9966
1255	16798	9950
1256	16806	9934
1257	16814	9917
1258	16822	9901
1259	16829	9884
1260	16839	9868
1261	16848	9852
1262	16857	9836
1263	16865	9820
1264	16874	9804
1265	16882	9787
1266	16891	9772
1267	16899	9755
1268	16908	9740
1269	16918	9724
1270	16925	9708
1271	16933	9691
1272	16944	9676
1273	16953	9661
1274	16963	9646
1275	16972	9629
1276	16979	9613
1277	16987	9597
1278	16997	9581
1279	17005	9565
1280	17013	9549
1281	17022	9533
1282	17031	9518
1283	17041	9502
1284	17048	9486
1285	17058	9471
1286	17066	9454
1287	17074	9438
1288	17084	9423
1289	17092	9407
1290	17100	9391
1291	17108	9375
1292	17117	9359
1293	17126	9343
1294	17133	9327
1295	17142	9311
1296	17149	9295
1297	17156	9278
1298	17164	9262
1299	17175	9248
1300	17184	9232
1301	17192	9216
1302	17202	9201
1303	17210	9186
1304	17219	9170
1305	17230	9156
1306	17238	9140
1307	17246	9124
1308	17255	9108
1309	17263	9092
1310	17271	9077
1311	17279	9061
1312	17287	9045
1313	17297	9030
1314	17305	9014
1315	17313	8998
1316	17323	8984
1317	17338	8971
1318	17347	8956
1319	17355	8940
1320	17364	8925
1321	17372	8909
1322	17380	8894
1323	17388	8878
1324	17396	8862
1325	17406	8847
1326	17416	8833
1327	17426	8818
1328	17435	8803
1329	17444	8787
1330	17452	8772
1331	17460	8756
1332	17469	8741
1333	17477	8725
1334	17485	8710
1335	17494	8694
1336	17502	8679
1337	17510	8663
1338	17518	8648
1339	17527	8632
1340	17534	8616
1341	17542	8601
1342	17552	8586
1343	17562	8572
1344	17570	8556
1345	17579	8541
1346	17588	8526
1347	17596	8511
1348	17605	8496
1349	17614	8481
1350	17623	8466
1351	17633	8451
1352	17641	8435
1353	17649	8420
1354	17656	8404
1355	17665	8389
1356	17673	8374
1357	17681	8359
1358	17690	8344
1359	17699	8329
1360	17708	8314
1361	17717	8299
1362	17725	8284
1363	17734	8269
1364	17742	8253
1365	17750	8238
1366	17758	8223
1367	17766	8208
1368	17775	8193
1369	17784	8178
1370	17792	8162
1371	17800	8147
1372	17809	8132
1373	17817	8117
1374	17826	8102
1375	17834	8087
1376	17842	8072
1377	17850	8057
1378	17859	8042
1379	17870	8028
1380	17878	8013
1381	17885	7998
1382	17894	7983
1383	17903	7968
1384	17912	7953
1385	17920	7938
1386	17929	7924
1387	17939	7909
1388	17948	7895
1389	17955	7879
1390	17963	7864
1391	17973	7850
1392	17982	7835
1393	17989	7820
1394	17998	7805
1395	18008	7791
1396	18017	7776
1397	18025	7762
1398	18033	7747
1399	18043	7732
1400	18051	7718
1401	18059	7702
1402	18068	7688
1403	18076	7673
1404	18086	7659
1405	18095	7644
1406	18105	7630
1407	18112	7615
1408	18123	7601
1409	18131	7587
1410	18140	7572
1411	18148	7557
1412	18160	7544
1413	18169	7530
1414	18179	7515
1415	18187	7501
1416	18196	7486
1417	18206	7472
1418	18214	7457
1419	18223	7443
1420	18231	7428
1421	18239	7413
1422	18247	7399
1423	18256	7384
1424	18266	7370
1425	18274	7356
1426	18286	7342
1427	18297	7329
1428	18309	7316
1429	18319	7302
1430	18328	7287
1431	18336	7273
1432	18345	7258
1433	18353	7244
1434	18362	7229
1435	18372	7215
1436	18380	7201
1437	18389	7186
1438	18396	7171
1439	18404	7157
1440	18431	7149
1441	18446	7138
1442	18455	7123
1443	18467	7110
1444	18476	7096
1445	18485	7082
1446	18498	7069
1447	18510	7056
1448	18520	7042
1449	18533	7029
1450	18544	7016
1451	18553	7002
1452	18562	6988
1453	18572	6974
1454	18580	6959
1455	18588	6945
1456	18596	6930
1457	18606	6916
1458	18613	6901
1459	18621	6887
1460	18631	6873
1461	18639	6858
1462	18648	6844
1463	18655	6830
1464	18664	6816
1465	18672	6801
1466	18680	6787
1467	18689	6773
1468	18698	6758
1469	18707	6745
1470	18716	6730
1471	18724	6716
1472	18732	6702
1473	18742	6688
1474	18751	6674
1475	18761	6660
1476	18769	6646
1477	18778	6632
1478	18788	6618
1479	18795	6603
1480	18805	6590
1481	18814	6576
1482	18823	6562
1483	18832	6548
1484	18843	6534
1485	18853	6521
1486	18863	6507
1487	18872	6493
1488	18882	6480
1489	18890	6466
1490	18899	6451
1491	18909	6438
1492	18919	6424
1493	18928	6410
1494	18938	6397
1495	18946	6382
1496	18954	6368
1497	18963	6355
1498	18975	6341
1499	18984	6328
1500	18995	6314
1501	19003	6300
1502	19012	6286
1503	19022	6273
1504	19032	6259
1505	19042	6246
1506	19050	6232
1507	19059	6218
1508	19070	6205
1509	19079	6191
1510	19089	6177
1511	19097	6163
1512	19107	6150
1513	19116	6136
1514	19124	6122
1515	19134	6109
1516	19143	6095
1517	19153	6081
1518	19163	6068
1519	19173	6054
1520	19182	6041
1521	19190	6027
1522	19199	6013
1523	19209	5999
1524	19218	5986
1525	19229	5972
1526	19238	5959
1527	19247	5945
1528	19254	5931
1529	19262	5917
1530	19273	5904
1531	19284	5891
1532	19292	5877
1533	19301	5863
1534	19309	5849
1535	19318	5835
1536	19326	5821
1537	19335	5808
1538	19345	5794
1539	19354	5781
1540	19362	5767
1541	19371	5753
1542	19380	5740
1543	19389	5726
1544	19398	5712
1545	19407	5699
1546	19415	5685
1547	19423	5671
1548	19430	5657
1549	19439	5643
1550	19447	5629
1551	19458	5616
1552	19467	5603
1553	19475	5589
1554	19484	5575
1555	19491	5561
1556	19503	5549
1557	19513	5535
1558	19522	5522
1559	19531	5508
1560	19540	5495
1561	19549	5481
1562	19558	5468
1563	19567	5454
1564	19575	5441
1565	19585	5427
1566	19593	5414
1567	19603	5400
1568	19611	5387
1569	19619	5373
1570	19628	5360
1571	19636	5346
1572	19645	5332
1573	19654	5319
1574	19664	5306
1575	19672	5292
1576	19681	5279
1577	19689	5265
1578	19697	5251
1579	19705	5238
1580	19713	5224
1581	19722	5211
1582	19730	5197
1583	19739	5183
1584	19748	5170
1585	19757	5157
1586	19765	5143
1587	19774	5130
1588	19782	5116
1589	19791	5103
1590	19799	5089
1591	19808	5076
1592	19815	5062
1593	19824	5049
1594	19832	5035
1595	19841	5022
1596	19851	5009
1597	19859	4996
1598	19868	4982
1599	19876	4969
1600	19885	4955
1601	19893	4942
1602	19901	4928
1603	19909	4915
1604	19917	4901
1605	19925	4888
1606	19934	4875
1607	19942	4861
1608	19950	4848
1609	19960	4835
1610	19969	4821
1611	19977	4808
1612	19985	4795
1613	19995	4782
1614	20003	4768
1615	20010	4755
1616	20020	4742
1617	20030	4729
1618	20041	4716
1619	20050	4703
1620	20060	4690
1621	20070	4677
1622	20078	4664
1623	20086	4650
1624	20096	4637
1625	20105	4624
1626	20117	4612
1627	20129	4599
1628	20139	4586
1629	20147	4573
1630	20159	4560
1631	20169	4547
1632	20177	4534
1633	20186	4521
